Question,Option 1,Option 2,Option 3,Option 4
"Your company has an application running in the Compute Engine VM that belongs to the GCP project called dev-proj with appropriate IAM roles defined. In several weeks, the application is ready to be deployed to production, so you created the project called prod-proj. In order to equalize the development and production environment, you want the prod-proj to have the same IAM roles as the dev-proj. Using the fewest possible steps, what should you do?","In the Google Cloud Platform Console, use the 'create role' functionality and select all applicable permissions.",Use gcloud iam roles copy and specify the production project as the destination project.,Use gcloud iam roles copy and specify your organization as the destination organization.,"In the Google Cloud Platform Console, use the 'create role from role' functionality."
"Your Accounting team has to perform cost analysis measures to review and plan for the next IT budget. They need your help to export the billing details, crunch the numbers, reduce complexity and visualize it in a dashboard. Choose the correct method of setting up the billing export.",Export the data to a Cloud SQL DB and perform queries to deduce the cost analysis.,Export data to BigQuery and use Looker (Data Studio) to create customizable informative reports right.,Use Cloud Functions and write custom code to extract details from the budget data.,Use Cloud Logging and create custom metrics.
"You built an application on Google Cloud that uses Cloud Spanner. Your support team needs to monitor the environment but should not have access to table data. You need a streamlined solution to grant the correct permissions to your support team, and you want to follow Google-recommended practices. What should you do?",Add the support team group to the roles/spanner.databaseUser role.,Add the support team group to the roles/monitoring.viewer role.,Add the support team group to the roles/spanner.databaseReader role.,Add the support team group to the roles/stackdriver.accounts.viewer role.
There is a requirement to develop a Prototype for an OCR (Optical Character Recognition) based Expense management application. It should ideally have the functionality of scanning receipts and extracting textual data. You have a very small team and also have to deliver the project's prototype on a quick timeline. Which of the following approaches can be adopted to implement the requirement?,Assign the OCR application development work to an in-house Data Science team to model the data in a customized way with training and prediction services using the GCP AI platform.,Use Cloud Data flow for streaming data pipelines.,Use Vertex Al to model the data and leverage the features of AutoML.,Use the Vision API and use pre-trained data models.
"In your organization, it was recently reported that a dev environment's database was compromised but quickly secured back. Based on the internal analysis, it was found that a new intern had unknowingly allowed internet access to a Cloud SQL instance. Although it is a matter of lesser significance in a dev environment, you want to make sure this issue does not happen again. Hence you decide to enforce a centralized organization policy. Which of the following action accomplishes this task?",Set an Organization Policy to use constraints/sql.denyEgressTraffic to deny external internet access.,Create a VPC network to allow only authorized access based on firewall rules to deny traffic from external internet access.,Use IAM (Identity and Access Management) to restrict Access for the Intern only with Viewer level access to the dev environment folder.,Set an Organization Policy to use constraints/sql.restrictPubliclp to restrict external internet access rights.
You are currently working on a freelance project where you have to deploy a WordPress website on VM. You decided to use a startup script to install WordPress and other libraries instead of manual installation. While launching you forgot to use the startup script and are wondering how to do it now. What should you do?,"Stop the instance, add metadata with startup-script as key, and script content as value, and start the instance.","Edit the instance by selecting it, add metadata with the script as key, add script content as value, and restart the instance.","Edit the instance by selecting it, add your startup script to the user data field, and restart your instance.","Stop the instance, add a script into the startup script field, and start the instance."
What is the correct command to set the default zone for Compute Engine VM using gcloud CLI?,gcloud config set compute/zone us-east1,gcloud config configurations set compute/zone us-east1-a,gcloud config set compute/zone us-east1-a,gcloud defaults set compute/zone us-east1
"While working on a project, an application administrator has been given the responsibility of managing all resources. He wants to delegate the responsibility of managing the existing service accounts to another administrator. He will also be responsible to manage the other service accounts that will be created. Which of the following is the best way to delegate the privileges required to manage all the service accounts?",Granting iam.serviceAccountUser to the administrator at the project level,Granting iam.serviceProjectAccountUser to the administrator at the project level,Granting iam.serviceAccountUser to the administrator at the service account level,Granting iam.serviceProjectAccountUser to the administrator at the service account level
You need to produce a list of the enabled Google Cloud Platform APIs for a GCP project using the gcloud command line in the Cloud Shell. The project name is my-project. What should you do?,"Run gcloud projects describe <project ID> to verify the project value, and then run gcloud services list --available.","Run gcloud info to view the account value, and then run gcloud services list --account <Account>.","Run gcloud projects list to get the project ID, and then run gcloud services list --project <project ID>.","Run gcloud init to set the current project to my-project, and then run gcloud services list --available."
Your company has 5 TB of testing data stored in the production database of a testing tool name Quality Center. The data is being used to create a real-time analytics system which is causing a slow response to the tester while using the tool. What should you do the improve the load on the database?,Scale the database instance.,Run the analytics query only on weekends.,Set up Multi-AZ.,Set up a read replica.
"Your client wants to develop a new cost-effective web application that runs on a serverless platform using Cloud Function, Cloud Storage, Pub/Sub, and Cloud CDN. The expected data would be 20 GB. Which of the following databases would be the most suitable schemaless option to support the serverless functionality?",Cloud Spanner,Cloud Bigtable,Cloud Firestore,BigQuery
You work for a financial company as a Cloud Engineer. Your manager asked you to find a solution to store audit log files for 3 years. Your company has hundreds of GCP projects. You need to implement a cost-effective approach for log file retention. What solution that you will give to the manager?,Create an export to the sink that saves logs from Cloud Audit to a coldline Cloud Storage bucket.,Create an export to the sink that saves logs from Cloud Audit to BigQuery.,Write a custom script that uses logging API to copy the logs from Cloud Logging to BigQuery.,Export logs to Cloud Pub/Sub and write a Cloud Dataflow pipeline to store logs to Cloud SQL.
"You are working along with a team of developers who are building an accounting application for a startup. Until now, they were using VM disk to store logs but have now realized that this strategy is not scalable and want a different solution to store logs. Which service would you recommend to the team?",Activity Logs,Cloud Logging,Flow Logs,Google Kubernetes Engine
